"results_id";"start";"duration";"class";"steps";"mi";"aee";"tee";"met";"vmu"
529;"2015-06-27 04:32:00.00";60;"lying";0;0.0018;2.572;93.556;1.01;0
529;"2015-06-27 04:33:00.00";60;"lying";0;0.00182;2.606;93.593;1.01;0
529;"2015-06-27 04:34:00.00";60;"lying";0;0.00179;2.555;93.537;1.01;0
529;"2015-06-27 04:35:00.00";60;"lying";0;0.00174;2.47;93.442;1.01;0
529;"2015-06-27 04:36:00.00";60;"lying";0;0.00178;2.538;93.518;1.01;0
529;"2015-06-27 04:37:00.00";60;"lying";0;0.00193;2.793;93.801;1.01;0
529;"2015-06-27 04:38:00.00";60;"lying";0;0.00179;2.555;93.537;1.01;0
529;"2015-06-27 04:39:00.00";60;"lying";0;0.00183;2.623;93.612;1.01;0
529;"2015-06-27 04:40:00.00";60;"lying";0;0.00186;2.674;93.669;1.01;0
529;"2015-06-27 04:41:00.00";60;"lying";0;0.00183;2.623;93.612;1.01;0
529;"2015-06-27 04:42:00.00";60;"lying";0;0.00226;3.354;94.425;1.02;0
529;"2015-06-27 04:43:00.00";60;"lying";0;0.00205;2.997;94.028;1.01;0
529;"2015-06-27 04:44:00.00";60;"lying";0;0.00218;3.218;94.273;1.01;0
529;"2015-06-27 04:45:00.00";60;"lying";0;0.00224;3.32;94.387;1.01;0
529;"2015-06-27 04:46:00.00";60;"lying";0;0.00264;4;95.143;1.02;0
529;"2015-06-27 04:47:00.00";60;"lying";0;0.0032;4.952;96.201;1.03;0
529;"2015-06-27 04:48:00.00";60;"lying";0;0.00192;2.776;93.782;1.01;0
